examId,mode,targetQuestionCount,renderedTargetCount,imageExpected,imageDecoded,solutionImageExpected,solutionImageDecoded,overflowCount,consoleErrorCount,pageErrorCount,status,evidenceNote
23_팔마고_2학기_중간_고1_기출,exam,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=4;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
23_팔마고_2학기_중간_고1_기출,solution,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
23_팔마고_2학기_중간_고1_기출,answer,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
24_금당고_2학기_중간_고1_기출,exam,3,3,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=3;choicesExpected=3;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
24_금당고_2학기_중간_고1_기출,solution,3,3,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=3;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
24_금당고_2학기_중간_고1_기출,answer,3,3,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=3;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
24_제일고_2학기_기말_고1_기출,exam,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=5;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
24_제일고_2학기_기말_고1_기출,solution,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
24_제일고_2학기_기말_고1_기출,answer,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_금당고_2학기_기말_고1_기출,exam,4,4,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=4;choicesExpected=4;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_금당고_2학기_기말_고1_기출,solution,4,4,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=4;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_금당고_2학기_기말_고1_기출,answer,4,4,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=4;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_금당고_2학기_기말_고1_유사,exam,4,4,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=4;choicesExpected=4;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_금당고_2학기_기말_고1_유사,solution,4,4,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=4;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_금당고_2학기_기말_고1_유사,answer,4,4,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=4;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
