examId,mode,targetQuestionCount,renderedTargetCount,imageExpected,imageDecoded,solutionImageExpected,solutionImageDecoded,overflowCount,consoleErrorCount,pageErrorCount,status,evidenceNote
25_순천고_2학기_기말_고1_기출,exam,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=6;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_순천고_2학기_기말_고1_기출,solution,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_순천고_2학기_기말_고1_기출,answer,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_순천고_2학기_기말_고1_유사,exam,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=6;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_순천고_2학기_기말_고1_유사,solution,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_순천고_2학기_기말_고1_유사,answer,7,7,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=7;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_제일고_2학기_기말_고1_기출,exam,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=4;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_제일고_2학기_기말_고1_기출,solution,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_제일고_2학기_기말_고1_기출,answer,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_제일고_2학기_기말_고1_유사,exam,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=4;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_제일고_2학기_기말_고1_유사,solution,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_제일고_2학기_기말_고1_유사,answer,6,6,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=6;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_팔마고_2학기_기말_고1_기출,exam,2,2,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=2;choicesExpected=2;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_팔마고_2학기_기말_고1_기출,solution,2,2,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=2;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
25_팔마고_2학기_기말_고1_기출,answer,2,2,0,0,0,0,0,0,0,PASS,pageLoad=PASS;targetIds=2;choicesExpected=0;contentOrAnswer=PASS;choices=PASS;answer=PASS;solution=PASS;math=PASS;clippedPages=0;loadErrorText=0
