assetPath,assetSha256,byteCount,viewBox,preserveAspectRatio,primitiveCounts,staticXmlStatus,forbiddenNodes,observedFactHash
archive/assets/images/21_복성고_2학기_중간_고1_기출/q17-solution.svg,320989d8378ccde27356ec7f4419acaa81dd931592d326c2dedd934da28b08bb,4797,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":22,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":2,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,5515fd335ba6ccf16f37c268911688d36ddd9c957fa20bbff511124107a6f33c
archive/assets/images/21_순천고_2학기_중간_고1_기출/q21-solution.svg,1db29d2283ebacb2e9bd2beb5c5754d3278cb125fa3c8ebe495a6461ca186273,6693,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":29,""polyline"":0,""polygon"":1,""path"":0,""rect"":3,""text"":22,""g"":6,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,940afd6cefd0f517e938eabdd8b306f1d2f6fee54a3e40400d140f8fcc6fe77a
archive/assets/images/21_효천고_2학기_중간_고1_기출/q13-solution.svg,c00654586178a256b20feda25a38fa2b487462ee634929c78f3bb88d4a563877,6538,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":28,""polyline"":0,""polygon"":2,""path"":0,""rect"":3,""text"":20,""g"":5,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,8ddb5a6297121c0f893984b7e7b39d2205f25735d3ef8fb244b5a62484c37cd1
archive/assets/images/22_강남여고_2학기_중간_고1_기출/q13-solution.svg,1bd3491a748c49ad6cd208e43f125d3726828fbae8720c63ba9474f05aa08410,5606,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":1,""ellipse"":0,""line"":35,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":12,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,cb4c553095d91143fac7f6127eade986bc83ed752a71726c6f84eb2e1d70805f
archive/assets/images/22_강남여고_2학기_중간_고1_기출/q22-solution.svg,75cdb395e7b17e4f3c2a5c534e227b01280330a95e3258df59f93973265f75d1,4088,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":0,""ellipse"":0,""line"":19,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":9,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,beed584f3bd0b952948388c85740a7231329e2dc01591fdadca0ea4c1a5f95a8
archive/assets/images/22_금당고_1학기_기말_고1_기출/q04-solution.svg,866f500bb80dcfa2a92f5e5b9d9fe6cf4c4d8e5280f10f4037cb6b86af574627,4009,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":16,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":12,""g"":2,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,5820dfa02ff229a5776cd4f477d735d9e28d247a4cb1f907a7b07a3d2718eabb
archive/assets/images/22_금당고_1학기_기말_고1_기출/q13-solution.svg,0fa0ddcfd4e59200cf0b9ac165c3dae6b870e1bb502f99177a79442fdea9c543,6732,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":30,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":20,""g"":5,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,45b7aad2df3169f623203a7e5befd9e74a243e3056318c3d8b6f167cc42d7ca7
archive/assets/images/22_금당고_1학기_기말_고1_기출/q19-solution.svg,f687713dee471d218568713c271521de4e59186ed11d822d3dd45b2d3d641313,4916,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":13,""polyline"":0,""polygon"":1,""path"":0,""rect"":3,""text"":16,""g"":4,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,65b6add0b46413b88a5a90fb2ac907ef0176f66a4d121bf3f71bdd5ad7e62967
archive/assets/images/22_금당고_1학기_기말_고1_기출/q20-solution.svg,996abaa8af9c70c9c64c688a3bd9f2e49b51798d682b26b9b1e7cc99357ab6ef,9018,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":65,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":11,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,35372488dfbe74c464039a73619af9a720dc50aa1d0d544b9bfb7d2aa3325b56
archive/assets/images/22_매산고_1학기_기말_고1_기출/q06-solution.svg,8b42909e9004bc4a590a441bb6aaeef09b6c716117387d81b66f7d218d47391c,4399,0 0 840 480,xMidYMid meet,"{""svg"":1,""circle"":0,""ellipse"":0,""line"":20,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":9,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,bc3192e0984bf9e96f86f34006940a84804833449e25061374ffa959709fd046
