assetPath,observedPolicy,verticalLinePositions,horizontalLinePositions,verticalGaps,horizontalGaps,verticalMedianGap,horizontalMedianGap,relativeScaleError,verdict,finalTriage,semanticFactReview,reviewNote
archive/assets/images/21_복성고_2학기_중간_고1_기출/q01-solution.svg,EQUAL_UNIT,"[107.0, 149.0, 191.0, 233.0, 275.0, 317.0]","[93.0, 135.0, 177.0, 219.0, 261.0, 303.0]","[42.0, 42.0, 42.0, 42.0, 42.0]","[42.0, 42.0, 42.0, 42.0, 42.0]",42.0,42.0,0.0,PASS_EQUAL_UNIT_DECLARED_AND_OBSERVED,PASS_METRIC_SCALE_OBSERVED,NOT_STARTED,
archive/assets/images/21_복성고_2학기_중간_고1_기출/q02-solution.svg,SCHEMATIC_ALLOWED,[180.0],[145.0],[],[],,,,SEMANTIC_SCALE_REVIEW_REQUIRED,PASS_EXPLICIT_SCHEMATIC_EXCEPTION,PASS_EXPLICIT_SCHEMATIC_EXCEPTION,Browser render and source facts show a relational explanatory diagram; exact metric values are printed in the solution panel and are not inferred from pixel distance.
archive/assets/images/21_복성고_2학기_중간_고1_기출/q09-solution.svg,SCHEMATIC_ALLOWED,[100.0],"[78.0, 220.0]",[],[142.0],,142.0,,SEMANTIC_SCALE_REVIEW_REQUIRED,PASS_EXPLICIT_SCHEMATIC_EXCEPTION,PASS_EXPLICIT_SCHEMATIC_EXCEPTION,Browser render and source facts show a relational explanatory diagram; exact metric values are printed in the solution panel and are not inferred from pixel distance.
archive/assets/images/21_복성고_2학기_중간_고1_기출/q16-solution.svg,EQUAL_UNIT,"[72.0, 100.0, 128.0, 156.0, 184.0, 212.0, 240.0, 268.0, 296.0, 324.0, 352.0]","[72.0, 100.0, 128.0, 156.0, 184.0, 212.0, 240.0, 268.0, 296.0, 324.0]","[28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0]","[28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0]",28.0,28.0,0.0,PASS_EQUAL_UNIT_DECLARED_AND_OBSERVED,PASS_METRIC_SCALE_OBSERVED,NOT_STARTED,
archive/assets/images/21_순천고_2학기_중간_고1_기출/q09-solution.svg,EQUAL_UNIT,"[148.34, 177.28, 206.21, 235.15, 264.09, 293.02]","[95.15, 124.09, 153.02, 181.96, 210.89, 239.83, 268.77, 297.7, 326.64]","[28.94, 28.93, 28.94, 28.94, 28.93]","[28.94, 28.93, 28.94, 28.93, 28.94, 28.94, 28.93, 28.94]",28.94,28.94,0.0,PASS_EQUAL_UNIT_DECLARED_AND_OBSERVED,PASS_METRIC_SCALE_OBSERVED,NOT_STARTED,
archive/assets/images/21_순천고_2학기_중간_고1_기출/q20-solution.svg,EQUAL_UNIT,"[86.0, 132.67, 179.33, 226.0, 272.67, 319.33]","[100.0, 146.67, 193.33, 240.0, 286.67]","[46.67, 46.66, 46.67, 46.67, 46.66]","[46.67, 46.66, 46.67, 46.67]",46.67,46.67,0.0,PASS_EQUAL_UNIT_DECLARED_AND_OBSERVED,PASS_METRIC_SCALE_OBSERVED,NOT_STARTED,
archive/assets/images/21_제일고_2학기_중간_고1_기출/q18-solution.svg,EQUAL_UNIT,"[78.59, 108.24, 137.88, 167.53, 197.18, 226.82, 256.47, 286.12, 315.76, 345.41]","[72.0, 101.65, 131.29, 160.94, 190.59, 220.24, 249.88, 279.53, 309.18]","[29.65, 29.64, 29.65, 29.65, 29.64, 29.65, 29.65, 29.64, 29.65]","[29.65, 29.64, 29.65, 29.65, 29.65, 29.64, 29.65, 29.65]",29.65,29.65,0.0,PASS_EQUAL_UNIT_DECLARED_AND_OBSERVED,PASS_METRIC_SCALE_OBSERVED,NOT_STARTED,
archive/assets/images/22_강남여고_2학기_중간_고1_기출/q16-solution.svg,EQUAL_UNIT,"[90.0, 135.0, 180.0, 225.0, 270.0, 315.0]","[70.0, 115.0, 160.0, 205.0, 208.0, 250.0]","[45.0, 45.0, 45.0, 45.0, 45.0]","[45.0, 45.0, 45.0, 3.0, 42.0]",45.0,45.0,0.0,PASS_EQUAL_UNIT_DECLARED_AND_OBSERVED,PASS_EQUAL_UNIT_REPAIRED,PASS_METRIC_SCALE_REPAIRED,Equal grid spacing was observed; metadata was normalized to EQUAL_UNIT and the SVG root now has preserveAspectRatio=xMidYMid meet.
archive/assets/images/22_금당고_1학기_기말_고1_기출/q06-solution.svg,EQUAL_UNIT,"[32.0, 64.0, 80.0, 96.0, 128.0, 160.0, 192.0, 224.0, 256.0, 288.0]","[104.0, 136.0, 168.0, 178.0, 200.0, 232.0]","[32.0, 16.0, 16.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0]","[32.0, 32.0, 10.0, 22.0, 32.0]",32.0,32.0,0.0,PASS_EQUAL_UNIT_DECLARED_AND_OBSERVED,PASS_EQUAL_UNIT_REPAIRED,PASS_METRIC_SCALE_REPAIRED,Equal grid spacing was observed; metadata was normalized to EQUAL_UNIT and the SVG root now has preserveAspectRatio=xMidYMid meet.
archive/assets/images/22_금당고_1학기_기말_고1_기출/q11-solution.svg,EQUAL_UNIT,"[74.55, 97.45, 120.36, 143.27, 166.18, 189.09, 212.0, 234.91, 257.82, 280.73, 303.64, 326.55, 349.45]","[72.0, 94.91, 117.82, 140.73, 163.64, 186.55, 209.45, 232.36, 255.27, 278.18, 301.09, 324.0]","[22.9, 22.91, 22.91, 22.91, 22.91, 22.91, 22.91, 22.91, 22.91, 22.91, 22.91, 22.9]","[22.91, 22.91, 22.91, 22.91, 22.91, 22.9, 22.91, 22.91, 22.91, 22.91, 22.91]",22.91,22.91,0.0,PASS_EQUAL_UNIT_DECLARED_AND_OBSERVED,PASS_METRIC_SCALE_OBSERVED,NOT_STARTED,
