questionUid,field,assetPath,assetSha256,naturalSize,visualRequirement
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|6,image,archive/assets/images/25_금당고_2학기_기말_고1_기출/q06.png,d39a7dd01f2c5b3fbd5d0445f98c0a0a228425f6d9cd00b0362b6b75b609a657,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_금당고_2학기_기말_고1_기출.js|25_금당고_2학기_기말_고1_기출|15,solutionImage,archive/assets/images/25_금당고_2학기_기말_고1_기출/q15-solution.svg,3a881f4f0bf3887602b8cc21a095bbc0adfd08c6228e88af73429a9dfb7cf4da,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|4,image,archive/assets/images/25_순천고_2학기_기말_고1_기출/q4.png,30a3cd4d6c2d4a03ee7559425e32fda7b9ae4f6f2e24942fbd7d912cfb4ca7e1,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|10,image,archive/assets/images/25_순천고_2학기_기말_고1_기출/q10.png,9ff29a8b53fc84cfbec62273f6060cf490b3f6422eed8ccf66130bf90b62a22c,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_순천고_2학기_기말_고1_기출.js|25_순천고_2학기_기말_고1_기출|15,solutionImage,archive/assets/images/25_순천고_2학기_기말_고1_기출/q15-solution.svg,031ca0f8e35252a290c719744a479d8c43c2c4d7df3752146c295c156af58945,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|10,image,archive/assets/images/25_제일고_2학기_기말_고1_기출/q10.png,9ab459f7e6d20f9dfa0fdc210eeed5ea4f11c439d8eaf5fae8875c3a6b928e64,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|12,image,archive/assets/images/25_제일고_2학기_기말_고1_기출/q12.png,0e37b5ca16abf325e8529469db976101fd3b2b966bbcb8443bce7c38d6923ff4,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|18,solutionImage,archive/assets/images/25_제일고_2학기_기말_고1_기출/q18-solution.svg,9c5a1b7dc3625c5f3bb0afb2600732be001b181a0a54f2db50fb1bcdfee519e1,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_제일고_2학기_기말_고1_기출.js|25_제일고_2학기_기말_고1_기출|20,solutionImage,archive/assets/images/25_제일고_2학기_기말_고1_기출/q20-solution.svg,d1a1414cd3454eef1d44296f5a22319924b14c73a3619c3c0957405f68d0c6b1,[object Object],VISUAL_REQUIRED_SATISFIED
archive/exams/original/high/h1/2final/25_팔마고_2학기_기말_고1_기출.js|25_팔마고_2학기_기말_고1_기출|1,image,archive/assets/images/25_팔마고_2학기_기말_고1_기출/q01.png,aab69ec0ef2acfb9aef68d353f20e81e92add01e4bf68cc70dc4179243b4c1e5,[object Object],VISUAL_REQUIRED_SATISFIED_BY_PROBLEM_IMAGE
