assetPath,assetSha256,byteCount,staticXmlStatus,viewBox,preserveAspectRatio,primitiveCounts,forbiddenNodes,externalRefs,labelCount,observedFactHash
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q01-solution.svg,2fc9b11e718042fd07f5f239cef523ce66ad7d9030a5059a3ab72bd4ad0ae1cf,2267,STATIC_ROOT_SHAPE_PASS,0 0 760 360,,"{""svg"":1,""circle"":0,""ellipse"":2,""line"":0,""polyline"":0,""polygon"":0,""path"":2,""rect"":4,""text"":11,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,11,8723667592281831c2b678e17d7fe556035efea5eed0a6f4e6a2d910ded1b41f
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q03-solution.svg,f83cdd0e8d0fa75698a47e8a6b7b497c3080fc855d881ec6b09f5589ee5d03a0,14321,STATIC_ROOT_SHAPE_PASS,0 0 540 540,,"{""svg"":1,""circle"":1,""ellipse"":0,""line"":4,""polyline"":2,""polygon"":0,""path"":0,""rect"":0,""text"":3,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,3,7bd55c0f71922d66246afbc1f12880f2385d537723b56cb0ff733d821e215c14
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q12-solution.svg,6488265104fcca7607e509e9503142bea501cde2419d26a671b9cfd0998e85d3,28196,STATIC_ROOT_SHAPE_PASS,0 0 620 520,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":10,""polyline"":4,""polygon"":0,""path"":0,""rect"":0,""text"":9,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,9,e295a97e4c5e38630858a4f774072034888f0e025752913f01451aca1d7dd25a
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q13-solution.svg,cf7d4a353a10eb1fb5556d1aa6d3b30c4783bb4f90263c1c340692644afae2e4,5832,STATIC_ROOT_SHAPE_PASS,0 0 620 500,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":2,""polyline"":1,""polygon"":0,""path"":0,""rect"":0,""text"":4,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,4,e78bc20d36acd98b85a1c444dd73b2439e3bf9c8e1102c1dd80fac4486fd398c
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q14-solution.svg,bd017230b31cce748bf193156877754a47cc34a33f0648933204b62e043446fb,14541,STATIC_ROOT_SHAPE_PASS,0 0 620 520,,"{""svg"":1,""circle"":1,""ellipse"":0,""line"":4,""polyline"":2,""polygon"":0,""path"":0,""rect"":0,""text"":3,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,3,e5dac42b9ad05f30db845b172634622b9c5e9e3db3333e096795c39c8341d076
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q16-solution.svg,5b81641b397d9bc77c4eeab8cde1011d547d67aad7abac68595123837988c00f,14506,STATIC_ROOT_SHAPE_PASS,0 0 620 520,,"{""svg"":1,""circle"":1,""ellipse"":0,""line"":4,""polyline"":2,""polygon"":0,""path"":0,""rect"":0,""text"":3,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,3,d7ef9e9085cf628cace2254d43402cecebc1fdaf21dcdfcd8f5c02cc282f8e3d
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q17-solution.svg,cf53636e3c7915f2aafe2c9c9e42584851856f5e503285fcd3a2179204b1e94d,14661,STATIC_ROOT_SHAPE_PASS,0 0 620 460,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":4,""polyline"":2,""polygon"":0,""path"":0,""rect"":0,""text"":5,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,5,d6dfe16eff3542a317aee6c6f54931483f44ba3bdf36bd2390da308659af33d9
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q22-solution.svg,d52847945df6d5019b01ce4bff6c6be394caa5a90f98f40d71b8799a230fae3a,10389,STATIC_ROOT_SHAPE_PASS,0 0 620 500,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":4,""polyline"":2,""polygon"":0,""path"":0,""rect"":0,""text"":4,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,4,187fdfa1ac1f5a55af7873054a62a360fcf3dd615e2575c3e94b0d2e0e4d7e2a
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q23-solution.svg,769de7b0f9d21e37a4c23a095fa206941b47275a7730b636be638516c2719036,10942,STATIC_ROOT_SHAPE_PASS,0 0 540 540,,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":6,""polyline"":2,""polygon"":0,""path"":0,""rect"":0,""text"":10,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,10,b54166a0ebc815fd5bc947667652ef9a9f7c2de45d6350753d9633dbab96aad4
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q27-solution.svg,2feea57661c5dd0bfe28729e8159a99a418059b09d75e6471755ffeb85cb160e,5872,STATIC_ROOT_SHAPE_PASS,0 0 620 500,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":2,""polyline"":1,""polygon"":0,""path"":0,""rect"":0,""text"":4,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,4,af37c9de37067ed6db4a4f4a59d3bf00fa1bc11966cf1963899cb13229424eef
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q28-solution.svg,736e19eaf0595425c136933b456ae18f5b36e6a8a07b491cf997882a9476c45c,8361,STATIC_ROOT_SHAPE_PASS,0 0 620 500,,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":4,""polyline"":1,""polygon"":0,""path"":0,""rect"":0,""text"":5,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,5,2c128ed2e561ee3bc29f90b8a1806871a4f066ff5ce0cd31c14084e74374abf7
archive/assets/images/21_강남여고_2학기_기말_고1_기출/q29-solution.svg,3ca33169a9c6f6ad1de223397b1d9fa96b40d272fd618812cde76e1236bae114,14710,STATIC_ROOT_SHAPE_PASS,0 0 620 460,,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":2,""polyline"":3,""polygon"":0,""path"":0,""rect"":0,""text"":6,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,6,dc4465456681e1ef0ef34f0dcdf7c8867976e95a66bd88bf153d62653d722a7d
archive/assets/images/21_강남여고_2학기_중간_고1_기출/q01-solution.svg,82cf0a9d627ca99605d188b26788b0046a5f835213d02897928e51579c110eee,1469,STATIC_ROOT_SHAPE_PASS,0 0 720 300,,"{""svg"":1,""circle"":0,""ellipse"":0,""line"":0,""polyline"":0,""polygon"":0,""path"":0,""rect"":4,""text"":7,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",,,7,43746c86c0aaa66c71eb72a38f5662671d55382b8177c900948f66fba707887a
